mid,ld,vrn,y,m,mo,ec,col,dd,tld,pav,rc,amfv,pn,ddob,ft,d,s,id
"2742045562830","17.05.2019 22:04:28","UX53 VBU","31.10.2005 14:56:14","Bugatti","Durango","3501","Maroon","The air conditioning, in a bid for ultimate relaxation, emitted calming scents and played soothing nature sounds, creating a serene and tranquil atmosphere inside the car.","TotalLoss","12605,14","15909,49","172855","#!C #L#!Y$@4! 3#@8!@41$!2#@B$!C","15.06.1965","ELECTRIC","2","0","26.07.2023 21:45:43"
"4793699446971","10.08.2019 20:44:50","CR62 VWZ","14.12.2008 22:17:44","Jaguar","Challenger","4571","Navy","The air conditioning, in a bid for culinary creativity, emitted scents of freshly baked cookies and sizzling bacon, turning the car into an irresistible mobile café.","TotalLoss","24867,50","43119,79","107448","$ C!@L $Y $6@4$#1$8@2#3! PW","22.09.1991","PETROL/ALCOHOL","3","2","26.07.2023 21:45:43"
"3033135835463","10.03.2021 08:28:17","NN47 TIS","17.12.2012 19:50:52","Polestar","XTS","3728","Navy","The windshield wipers, feeling like a marching band, developed a synchronized drumming routine and accompanied the car's favorite songs with rhythmic beats on the car's windshield.","Repair","14291,64","22160,57","23995","!#C #L# Y$07@$18 #4#6#Z# Y","24.09.1993","DIESEL/ELECTRIC","6","2","26.07.2023 21:45:43"
"7106879420436","24.10.2022 19:19:54","LY81 PIY","28.01.2010 10:40:06","Volkswagen","Camaro","3642","White","The rearview mirror, tired of being constantly judged, decided to launch a campaign promoting self-love and body positivity for mirrors everywhere.","Repair","41561,65","8192,76","113339"," CL!@Y!#9!#88#@7#$2@7B!#N","03.07.1985","DIESEL/ELECTRIC","0","9","26.07.2023 21:45:43"
"4555802368719","13.08.2020 19:54:01","SD48 NLI","02.10.2018 18:56:00","Porsche","Altima","4019","Green","The air conditioning, feeling like a prankster, emitted puffs of scented air that corresponded to the car's speed, turning every drive into a multisensory experience.","TotalLoss","43494,26","4209,30","69000","!$C@#L! Y5@$3$ 8!#0@$75Q$!Q","02.09.1989","PETROL/LPG","3","6","26.07.2023 21:45:43"
"3471014156658","28.07.2022 12:16:39","RH26 FQK","23.11.2005 16:45:13","Cadillac","Camaro","5177","Blue","The side view mirror, embracing its artistic side, decided to explore the world of abstract expressionism and created a unique cracked glass masterpiece.","TotalLoss/Repair","8600,30","39625,56","184943","$#C# L$@Y!5! 9$3 $98#1$E$ W","08.02.1993","DIESEL","4","2","26.07.2023 21:45:43"
"9227057761391","09.01.2020 10:30:47","PQ32 TRC","20.10.2006 16:41:40","Chevrolet","Land Cruiser","5087","Teal","The windshield wipers, in a bid for fame, formed a synchronized dance group and auditioned for a reality show, leaving the car's occupants both entertained and perplexed.","TotalLoss/Repair","32479,89","47279,06","169457"," CL #Y #3#182$6#$2@G$M","14.06.2005","DIESEL/MHEV","5","9","26.07.2023 21:45:43"
"8159779235132","24.10.2020 04:46:16","WL07 AFF","08.11.2012 23:39:13","Ferrari","Colorado","4539","White","The windshield wipers, feeling mischievous, developed a personality of their own and engaged in playful banter with each other, providing comedic relief during rainy drives.","Repair","","23497,22","162827","! C $L$!Y$@7#!1#62! 9#$8$@E #Y","01.05.1961","DIESEL/ELECTRIC","0","7","26.07.2023 21:45:43"
"8425996441879","30.04.2021 02:52:16","PA51 KNZ","10.11.2011 04:06:37","Dodge","Roadster","6213","Purple","The trunk, in a bid to become a superhero's secret hideout, transformed into a concealed escape pod and promised to teleport the car's occupants to safety in times of need.","TotalLoss","36042,24","27441,88","4589","$ C $L@$Y!$7$@2 #1#$11#1@PG","11.12.1977","ELECTRIC","5","2","26.07.2023 21:45:43"
"969411617759","20.08.2021 10:56:29","OT46 TQJ","13.10.2012 02:40:44","Hyundai","Countach","2577","Yellow","The sunroof, embracing its inner disco queen, emitted sparkling glitter with every opening, turning the car into a rolling party of shimmer and shine.","Repair","46090,18","","79878","!@C@!L Y 31!$5#$5 !7$ 8@!KI","25.12.1963","ELECTRIC","3","0","26.07.2023 21:45:43"
"6298023177817","15.11.2021 05:56:25","EN33 GRW","15.09.2009 22:07:20","Jaguar","Explorer","4966","Gray","The sunroof, feeling adventurous, transformed into a giant slide and provided an exhilarating exit strategy for the car's occupants.","TotalLoss","44225,16","23793,12","71461","@!C@$L# Y 1#67 @5!1@#8@$B$@G","15.06.1954","PETROL","6","5","26.07.2023 21:45:43"
"2569798156447","19.03.2019 09:24:44","PJ93 KYB","26.09.2015 21:22:33","Toyota","PT Cruiser","5755","Gray","Due to an unexpected encounter with a low-flying UFO, the roof now doubles as a landing pad for extraterrestrials.","TotalLoss/Repair","45423,97","5473,82","38894","#C@LY@ 43#@6!$0 02$ Q F","15.10.1971","DIESEL/ELECTRIC","4","4","26.07.2023 21:45:43"
"3132757988167","11.10.2022 16:56:42","NJ98 LGR","17.02.2004 23:06:31","Chevrolet","Focus","1606","Blue","The CD player, feeling nostalgic, transformed into a time machine and played only hits from past decades, turning the car into a rolling time capsule.","Repair","19995,18","52,43","99432"," !C!#L@$Y1$!0!$8!@98!$3#!H#@Y","","PETROL/LPG","6","2","26.07.2023 21:45:43"
"2718144510999","05.09.2022 18:45:28","DH00 KXB","22.03.2008 18:09:58","Volvo","Focus","2463","Gray","The rearview mirror, feeling like a life coach, provided daily affirmations and positive mantras to boost the car's occupants' self-confidence during their journeys.","Repair","23877,54","35947,43","117935"," @C$ L@Y 3! 4$ 7$ 5@#78 @L!O","16.05.1978","ELECTRIC","2","6","26.07.2023 21:45:43"
"3063429578113","11.02.2022 18:07:07","EX41 WSK","23.05.2006 21:37:31","Toyota","Impala","3052","Red","The hood ornament, in a moment of artistic expression, transformed into a miniature gallery and showcased rotating exhibits of tiny sculptures and paintings.","Repair","6749,65","41708,98","58137","$C#L# Y5!9 #0@#3$#90@ K$#P","21.10.1961","DIESEL/ELECTRIC","4","8","26.07.2023 21:45:43"
"8782110908184","24.08.2020 09:00:48","CM68 COF","05.01.2021 22:37:34","Volvo","Land Cruiser","5618","Olive","The rearview mirror, after a mid-life crisis, decided to retire and opened a coffee shop where it could reflect on life while serving cappuccinos to fellow mirrors.","TotalLoss","18132,24","43631,72","159957","#$CL$ Y$#4$ 8#$5@1@6! 6@!C#$G","26.01.1980","DIESEL","0","0","26.07.2023 21:45:43"
"5550151238402","11.07.2022 01:16:44","TE93 ESZ","16.08.2007 08:20:59","Polestar","A4","6297","Navy","After a thrilling mud-wrestling match with a particularly aggressive puddle, the car's paint job now boasts a fashionable speckled pattern.","TotalLoss","38917,43","41466,30","152785","C$@L!Y$!245@!8 $3#$6!$I @O","19.05.1964","DIESEL/MHEV","0","5","26.07.2023 21:45:43"
"4674855957675","26.11.2018 00:34:54","ED04 JVQ","19.06.2004 10:16:03","Polestar","Beetle","901","Orange","The rearview mirror, in a moment of self-reflection, developed the ability to predict the car's future destinations and offered amusing suggestions for scenic detours.","Repair","22184,18","","115509","#C$#L$#Y$#71!#2!$4@0@!5@$T#O","29.06.1966","DIESEL/ELECTRIC","6","2","26.07.2023 21:45:43"
"265078668972","23.04.2019 19:53:51","SW62 ZUM","01.06.2009 02:41:19","Land Rover","Model S","2897","Pink","The exhaust pipe, feeling like a performer, emitted bursts of colorful smoke in rhythm with the car's favorite songs, transforming the road into a psychedelic dance floor.","TotalLoss/Repair","31400,84","12775,04","101913","!@CL$ Y#13 @2!#89$9@#A!H","11.07.1990","PETROL/LPG","3","7","26.07.2023 21:45:43"
"3580318070459","06.08.2020 05:27:24","CM49 UJI","01.09.2003 02:30:46","Chrysler","Cruze","6724","Maroon","The air conditioning, in a bid for culinary excellence, emitted scents of freshly brewed coffee and freshly baked pastries, transforming the car into a cozy café on wheels.","Repair","13536,41","22673,56","159848","C$!L# Y# 3$#2$@0 @4#!56 !Q @O","24.12.1989","DIESEL/MHEV","","4","26.07.2023 21:45:43"
"6903274554836","12.06.2022 04:57:26","BJ97 TOH","13.09.2014 08:15:47","Mazda","Element","2845","Indigo","The rearview mirror, after a mid-life crisis, decided to retire and opened a coffee shop where it could reflect on life while serving cappuccinos to fellow mirrors.","Repair","31290,16","14793,30","106893","$!CLY@#5#57#@8#@5@#7Q# N","28.10.1996","DIESEL","4","0","26.07.2023 21:45:43"
"7425564607170","13.07.2020 00:03:56","HT97 BIY","06.05.2014 12:33:12","Audi","ATS","5256","Lime","In a stunning display of aerodynamics, the hubcap managed to take flight and become the neighborhood's newest Frisbee champion.","TotalLoss","49811,67","37093,97","42355","C@L$Y$@546!9#$11!U#@L","30.11.1999","PETROL/ELECTRIC","5","7","26.07.2023 21:45:43"
"9910149878312","24.10.2018 15:46:53","CO69 MWP","05.04.2004 15:51:56","Toyota","Cruze","939","Purple","The rearview mirror, in a quest for enlightenment, became a self-help guru and offered life coaching advice to the car's occupants during their journeys.","TotalLoss","27814,40","4223,97","120943","!@C# L@#Y!@01@2! 7@$6# 0@#GC","20.04.1964","DIESEL","2","8","26.07.2023 21:45:43"
"4519376907971","23.12.2021 05:26:20","TC83 VOH","19.12.2018 04:28:36","Lamborghini","CTS","1192","Lime","In a valiant attempt to mimic a superhero landing, the bumper discovered it lacked the necessary powers and crumbled under the pressure.","Repair","23526,44","4016,87","3994","#CL@Y@!679 $4@!83I !V","","DIESEL/ELECTRIC","2","8","26.07.2023 21:45:43"
"5271565758378","15.10.2022 04:23:06","EB39 CPJ","06.11.2012 19:31:58","Volvo","PT Cruiser","2710","Orange","The air conditioning, in a bid for relaxation, emitted soothing scents and played soft spa-like music, turning the car into a peaceful sanctuary on wheels.","TotalLoss/Repair","17703,30","13325,63","153959","@C@#L@ Y#!9$#2#@5! 9#@42!Z #X","26.01.1979","PETROL/ELECTRIC","3","6","26.07.2023 21:45:43"
"5263865790855","10.08.2021 17:58:07","EQ36 HMA","26.03.2018 13:50:52","Nissan","Alpine","2120","Black","The windshield, after a traumatic encounter with a swarm of love-struck bees, now features an avant-garde honeycomb pattern.","Repair","7442,08","10954,92","190783","C !LY@9@$0 !7! 8#@3 @5O@T","14.06.1956","PETROL/ELECTRIC","5","8","26.07.2023 21:45:43"
"6558965110803","21.01.2019 00:04:17","VO99 HNW","28.03.2007 18:37:11","Fiat","Model S","6964","Blue","The side door, jealous of revolving doors, attempted to spin around in a dizzying fashion but ended up disorienting the passengers and causing a case of severe motion sickness.","TotalLoss/Repair","44624,01","48746,14","11453","C@L!$Y!@88 !8#@6$ 2@!8$!J@!A","15.08.1976","ELECTRIC","2","3","26.07.2023 21:45:43"
"799983813997","26.01.2020 06:55:27","KS31 WTT","05.03.2019 23:09:07","Mini","Escalade","5575","Maroon","The side door, jealous of revolving doors, attempted to spin around in a dizzying fashion but ended up disorienting the passengers and causing a case of severe motion sickness.","TotalLoss","8255,19","21217,51","5258"," #C#$LY!$04$@0!$4 !43QT","02.05.1966","PETROL/ALCOHOL","4","0","26.07.2023 21:45:43"
"1338489006112","18.07.2021 02:55:12","EF87 PQN","13.08.2007 15:22:17","Audi","Corvette","4723","Maroon","The air conditioning, in a mischievous act, emitted gusts of wind at unexpected moments, giving the car's occupants spontaneous 'wind-in-the-hair' moments.","TotalLoss/Repair","37852,70","11822,01","73452","$ C #L#$Y!2$8$ 8$#1# 1$!1 $RS","27.08.2002","DIESEL","0","0","26.07.2023 21:45:43"
"6343258597689","13.11.2022 19:57:33","LZ77 HFJ","03.01.2017 17:31:28","Chrysler","Corvette","3572","Brown","The steering wheel, in a moment of eccentricity, sprouted additional arms and challenged the car's occupants to a synchronized steering performance, requiring coordination and skill.","TotalLoss/Repair","15351,04","20760,66","10234","CL!@Y!@4#@98!@836C!@V","27.07.1983","DIESEL/MHEV","4","5","26.07.2023 21:45:43"
"2399493961263","26.01.2023 09:56:55","FG37 OLF","01.10.2003 08:25:25","Chevrolet","Malibu","3156","White","The windshield wipers, exhausted by their daily duties, formed a union and demanded a vacation to a tropical rainforest for some well-deserved R&R.","TotalLoss/Repair","39215,53","8603,16","151554","@!C@$L@#Y2@#4# 5$8$7#8@$G$ H","16.05.1984","PETROL","0","5","26.07.2023 21:45:43"
"6931349778448","16.02.2022 22:08:55","XQ35 VCE","08.01.2010 12:37:10","Tesla","Volt","3688","Yellow","The steering wheel, in a moment of rebellion, turned itself into a giant joystick and challenged the car's occupants to a virtual racing game, turning every drive into an unexpected gaming session.","Repair","35353,06","","100650","C L$Y @441@!8$#3$!0O $K","22.02.1979","PETROL/LPG","0","8","26.07.2023 21:45:43"
"8914131735076","07.10.2021 03:09:31","DF16 BMF","30.09.2022 16:54:47","BMW","Malibu","999","Red","The glove compartment, feeling like a time capsule, produced nostalgic items from the past, surprising the car's occupants with forgotten memorabilia and keepsakes.","Repair","15403,41","36128,58","98137"," $C !L#!Y #4#4#$2 !0#@1! 3#@C @K","20.03.1999","PETROL/ELECTRIC","5","0","26.07.2023 21:45:43"
"9384540756835","23.12.2018 01:10:14","KH27 MOS","16.12.2018 04:28:50","Maserati","V90","5545","Pink","The air conditioning, embracing its inner polar bear, decided to throw an Arctic blast party that left the passengers frozen with excitement.","Repair","13189,12","35240,49","39560","@!C L $Y@#5$#0209$!0!$F! L","27.03.1974","PETROL/ELECTRIC","5","5","26.07.2023 21:45:43"
"7915876584417","09.08.2018 16:28:24","BG48 DJL","23.06.2017 03:01:07","BMW","Challenger","4454","Pink","The horn, feeling a bit melodramatic, decided to transform into a trombone and serenade the streets with a dramatic rendition of 'The Sound of Car Horns.'","Repair","44067,55","41643,46","154858","@$CLY! 1@!1!@4#1@#70 E@E","27.05.2002","DIESEL/MHEV","3","7","26.07.2023 21:45:43"
"8605778328920","10.10.2020 01:57:56","WY55 DPD","13.12.2008 19:25:53","BMW","Model 3","3120","Red","The side mirror, feeling mischievous, developed the ability to capture and project images from other cars' side mirrors, turning the road into a gallery of reflective snapshots.","Repair","14294,72","846,02","121251","C$ L Y@5 $3 !6$#5 58#@M X","25.03.1998","PETROL/ELECTRIC","2","5","26.07.2023 21:45:43"
"637846712083","08.10.2022 21:57:42","SD56 BFG","12.04.2008 01:14:14","Chevrolet","CX-9","4353","Yellow","The air conditioning, in a bid for culinary innovation, emitted scents of freshly baked cookies, transforming the car into a mobile bakery on wheels.","TotalLoss/Repair","46274,17","22958,43","159506","C!L!@Y#@30#!789 $7#QQ","30.11.1970","PETROL/LPG","0","6","26.07.2023 21:45:43"
"6523497961058","03.08.2022 05:07:50","SC35 LYN","20.08.2015 15:44:35","Polestar","CTS","6728","Red","The trunk, in a bid for freedom, decided to join a circus and became the star performer in the car-stuffing act, astonishing audiences with its storage capacity.","TotalLoss","20549,23","30615,77","58018","@#CLY7@ 9271!$2J# D","13.08.1977","DIESEL","0","7","26.07.2023 21:45:43"
"1623131546862","09.08.2020 18:02:19","FI85 FHX","24.11.2021 17:17:13","Fiat","Civic","3558","Magenta","The exhaust pipe, feeling like a master of disguise, emitted smoke in the shape of various animals and objects, turning the car into a playful smoke art gallery.","Repair","39873,19","28482,62","","!C$ L#Y@#9@4#@1!@2@$9$ 7@#GM","13.01.1994","DIESEL","4","0","26.07.2023 21:45:43"
"3799559551092","01.11.2020 04:56:40","LD49 KHT","18.03.2008 16:06:38","Audi","Golf","5803","Pink","The trunk, in a bid for freedom, decided to join a circus and became the star performer in the car-stuffing act, astonishing audiences with its storage capacity.","TotalLoss/Repair","29064,93","","54652","$!C$@LY!#6#$9!#6$5$5@!4!$YJ","20.08.1956","DIESEL","6","9","26.07.2023 21:45:43"
"377959931430","","JJ89 EYW","23.09.2013 20:40:48","Maserati","Charger","5928","Green","The side mirror, in a moment of rebellion, developed a sassy attitude and started complimenting the car's occupants on their impeccable style and flawless hairdos.","Repair","39373,15","8884,46","56311","$@C# L!@Y1!$5! 9$ 1!#7$ 4S#!M","21.02.2000","PETROL","","3","26.07.2023 21:45:43"
"8801167826496","09.01.2019 20:21:43","YL72 GYA","19.10.2011 08:37:44","Aston Martin","Grand Caravan","3258","Silver","The cup holder, in a moment of chaos, decided to organize a tea party with an assortment of cups, causing a lively discussion on the proper etiquette of drinking while driving.","TotalLoss","14034,01","","150051","#C $L $Y@1!4!#1# 0@ 1@$6XO","01.11.1955","PETROL/LPG","6","4","26.07.2023 21:45:43"
"7483631632105","30.08.2022 16:09:41","UG42 ZRJ","06.11.2005 14:15:45","Hyundai","Aventador","2475","Lime","The hood, in a bid for freedom, staged a coup and attempted to secede from the rest of the car's body, resulting in a rebellious display of popping open at random.","Repair","8386,84","32531,90","85590","$@CL$ Y5! 4$#7!@3 #93@N $Z","28.12.1959","PETROL/LPG","2","8","26.07.2023 21:45:43"
"1920555306565","28.09.2018 10:31:30","FI00 TFX","01.06.2012 08:11:58","Nissan","Volt","5106","Red","The exhaust pipe, in a moment of rebellion, emitted bubbles instead of smoke, turning the car into a whimsical bubble-making machine.","Repair","31526,28","42691,69","95502","! CL!@Y@!3!#2@ 9 #1$#6$#1#@Y!@G","17.11.2004","PETROL/ELECTRIC","2","9","26.07.2023 21:45:43"
"7542328292886","10.09.2020 07:16:34","WI09 YYY","02.06.2017 22:28:43","Chrysler","Golf","1177","Lime","The exhaust pipe, in a bid for attention, attempted to imitate a fog machine and filled the neighborhood with a cloud of smoke, inspiring impromptu dance parties on the street.","Repair","28734,53","7356,76","24966"," !C!#LY6# 6@841@ 1!$V@ N","17.09.1989","PETROL/ALCOHOL","6","3","26.07.2023 21:45:43"
"7260548967220","29.10.2021 05:50:45","TX38 BEH","29.05.2015 01:21:09","Bugatti","Prius","1445","Brown","The rearview mirror, overwhelmed by its own reflection, decided to call it quits and pursue a career in existential philosophy.","TotalLoss","5207,76","28024,50","86891","$ C L@#Y@3009 @8 1$@K#@G","16.07.1964","ELECTRIC","0","","26.07.2023 21:45:43"
"908947831609","22.12.2018 15:46:54","XQ54 XFS","10.10.2007 08:18:10","Lamborghini","A4","3610","Teal","The air conditioning, feeling like a prankster, decided to blow cold air on the driver's neck at unexpected moments, causing hilarious shivers and neck-aches.","TotalLoss/Repair","36405,08","14259,48","92124","$C$#LY#1@8#@0 12 !4!J$J","05.05.1971","PETROL/ELECTRIC","2","2","26.07.2023 21:45:43"
"3160391300596","10.05.2019 16:31:19","HT75 VOP","28.06.2011 22:16:13","Volkswagen","Colorado","969","Silver","The seatbelt, attempting to break free from its restraints, staged an audacious escape and embarked on a road trip across the country.","Repair","","15988,45","7649"," @C! L Y@!1@$3#!1$#0$#50!$U@!E","09.07.1969","DIESEL/MHEV","0","","26.07.2023 21:45:43"
